Date,USD_by_INR,GBP_by_INR,EUR_by_INR
20080422,39.86404433,79.50577029,63.56638289
20080423,39.84153701,79.14458337,63.56638289
20080424,40.27358035,79.68510724,63.56638289
20080425,40.25719683,79.97647272,62.84342835
20080428,40.16670671,80.09799162,62.83082042
20080429,40.52418857,80.08238668,63.15881024
20080430,40.53577286,79.82438498,63.05108621
20080502,40.79256098,81.04989706,63.11569636
20080505,41.28247567,81.38616524,63.88197438
20080506,41.45780403,81.78923521,64.4354589
20080507,41.37724702,81.05855678,63.90438024
20080508,41.73354461,81.68966154,64.10794644
20080509,41.56509047,81.04506761,64.31098112
20080512,42.04246303,82.34084156,64.93176145
20080513,42.15814563,82.28119466,65.29187383
20080514,42.52221818,82.6740058,65.71101646
20080515,42.62547286,82.8438303,66.01990785
20080516,42.62716612,83.11636752,66.12493018
20080519,42.5152668,83.13793654,66.28752962
20080520,42.67207152,83.90292579,66.79682319
20080521,42.79089617,84.21585828,67.47109598
20080522,42.88345627,85.19537108,67.62562542
20080523,42.74225758,84.80740746,67.34734427
20080526,42.69521306,84.58737829,67.35441342
20080527,42.93499444,85.00901066,67.72838731
20080528,42.72243043,84.43783569,66.94834907
20080529,42.75309643,84.63063773,66.54708038
20080530,42.46525657,83.89240612,65.91627348
20080602,42.43389022,83.31770287,65.92280208
20080603,42.68694915,84.25128266,66.62357039
20080604,42.69531425,83.67136471,66.09389172
20080605,42.92926241,83.8347486,66.18105014
20080606,42.69828496,83.65547084,66.65835754
20080609,42.84136628,84.9101894,67.68360667
20080610,43.07225255,84.40107906,66.9360801
20080611,42.9418346,84.28776642,66.68612468
20080612,42.90896736,83.71770401,66.21418558
20080613,43.01733087,83.78999036,66.03264114
20080616,43.03325051,84.60595875,66.58687781
20080617,42.82103316,83.53343528,66.33565578
20080618,42.86420823,83.82016793,66.47118607
20080619,43.01477896,84.7977024,66.65301632
20080620,43.01000478,85.13211264,67.20096306
20080623,43.0671317,84.55571194,66.90656798
20080624,43.02809559,84.79916408,67.04834307
20080625,42.717532,84.38141914,66.69695655
20080626,42.80425487,85.1336325,67.39790136
20080627,42.86431845,85.30213978,67.5654128
20080630,43.01413973,85.69807592,67.87045623
20080701,43.33005862,86.53518497,68.41664195
20080702,43.21391113,86.00522491,68.36733642
20080703,43.22542228,86.02538944,68.7273455
20080704,43.21601718,85.74927177,67.78670953
20080707,43.37594692,85.36306376,67.95073504
20080708,43.3326436,85.67843005,68.03904072
20080709,43.09086838,85.12208254,67.78018293
20080710,43.03692758,85.07378095,67.66518216
20080711,42.97451549,85.26217488,68.11333748
20080714,42.8583199,85.27214077,67.98064929
20080715,43.21991769,86.98023429,69.17282419
20080716,43.09274098,86.34473346,68.52932612
20080717,42.92617948,86.07632545,68.09687957
20080718,42.71288005,85.28169736,67.61742304
20080721,42.66855576,85.26355731,67.7266293
20080722,42.86533541,86.10004236,68.30069348
20080723,42.07115424,84.23397928,66.2857004
20080724,42.31287837,84.18101879,66.39549835
20080725,42.35742107,84.59747661,66.70705433
20080728,42.6309514,84.81089763,67.18903105
20080729,42.74106328,85.10386523,67.18717275
20080730,42.42955287,84.18471061,66.20485298
20080731,42.44336645,84.09045796,66.31986779
20080801,42.33106536,83.7860056,65.98762183
20080804,42.58084198,83.83275021,66.3428894
20080805,42.28300588,82.69852627,65.54449986
20080806,42.20772102,82.5866422,65.38977687
20080807,42.27768665,82.63396465,65.46854838
20080808,42.19647438,81.22484296,63.66603191
20080811,42.23857038,81.22525627,63.46742384
20080812,42.42632967,80.73164153,63.30366009
20080813,42.7159209,80.25817025,63.71865289
20080814,42.99009947,80.68324765,64.14485163
20080815,42.73544647,79.70864457,63.00349056
20080818,43.65269343,81.54941872,64.24652541
20080819,43.65182376,81.35675914,64.12727553
20080820,43.90803677,81.6704621,64.75417831
20080821,43.49635762,81.2978817,64.49534058
20080822,43.52858162,81.01888682,64.51697925
20080825,43.78594183,81.27225669,64.71874331
20080826,43.83374582,80.56132846,64.04792337
20080827,43.87476976,81.12144505,64.85003652
20080828,43.76801834,80.44303288,64.70977475
20080829,43.77697959,80.23349528,64.56527992
20080901,44.21069714,79.74276677,64.70048628
20080902,44.49231503,79.54699623,64.64502019
20080903,44.14632127,78.48680825,63.81090282
20080904,44.62822856,79.63118768,64.71741854
20080905,44.56166347,78.54724166,63.54595768
20080908,44.83423796,79.04976993,63.78656445
20080909,44.82302739,79.05212446,63.45656188
20080910,45.14032894,79.42921529,63.67985932
20080911,45.60686465,80.12840095,63.60761642
20080912,45.90598121,81.20324182,64.63131513
20080915,46.131939,82.32871575,65.3419285
20080916,47.02373399,84.23153948,67.15106083
20080917,46.66082568,83.575841,66.43199136
